#{"t_start": 1677702823.6680574, "env_id": "Swimmer-v3"}
r,l,t
14.568303,1000,10928.863312
12.179059,1000,10943.068885
20.884155,1000,10957.13911
19.382725,1000,10971.217593
22.053975,1000,10985.356563
2.930888,1000,11002.349559
11.020419,1000,11016.309166
37.574594,1000,11030.601042
0.884023,1000,11044.810266
14.744953,1000,11059.722808
21.013703,1000,11074.362288
2.621765,1000,11089.736276
19.173682,1000,11103.829788
14.487675,1000,11118.111102
16.427435,1000,11132.537544
19.235853,1000,11146.773021
20.511021,1000,11161.117652
23.622813,1000,11175.28233
16.311818,1000,11189.650849
16.761631,1000,11203.741514
-6.740982,1000,11217.964814
20.494914,1000,11232.075819
-3.515616,1000,11246.248884
24.809688,1000,11260.238019
-6.607215,1000,11274.801698
-11.682268,1000,11288.763306
13.852714,1000,11303.197486
38.270258,1000,11317.096176
30.730246,1000,11331.648728
30.648378,1000,11345.68934
-7.993136,1000,11362.657182
-19.020943,1000,11376.767704
1.356705,1000,11391.314322
6.580799,1000,11405.703587
6.763762,1000,11419.854986
-3.195288,1000,11434.155325
-16.336568,1000,11448.390074
6.585988,1000,11462.518404
-2.09612,1000,11476.733902
18.73249,1000,11490.845719
25.809041,1000,11504.918584
8.224196,1000,11519.230262
4.979816,1000,11533.354678
-6.13367,1000,11547.706654
14.415756,1000,11561.675245
2.098144,1000,11575.910689
14.312966,1000,11589.907856
24.885081,1000,11604.313119
27.803868,1000,11618.565472
1.627641,1000,11632.878413
-9.164998,1000,11647.127403
-2.449704,1000,11661.090134
-4.880099,1000,11674.520099
35.842701,1000,11687.771329
27.366223,1000,11701.194291
17.816518,1000,11716.766204
-4.935265,1000,11730.956285
-5.420937,1000,11745.030339
15.29806,1000,11762.04072
12.01592,1000,11775.246511
13.032467,1000,11788.984087
-2.051409,1000,11802.036327
-7.736188,1000,11815.271313
-3.583017,1000,11828.32232
18.354436,1000,11842.077144
1.958501,1000,11855.301042
-16.131418,1000,11868.315853
-16.387052,1000,11882.008235
-0.374413,1000,11895.180664
-3.581312,1000,11908.921499
37.188056,1000,11922.659792
33.675917,1000,11935.995747
3.46184,1000,11949.269857
-2.045663,1000,11962.418676
37.939812,1000,11975.674234
9.955684,1000,11989.600906
36.564199,1000,12003.335337
29.542376,1000,12016.557441
-6.983724,1000,12029.98449
35.594107,1000,12043.110385
35.176324,1000,12059.057373
35.62226,1000,12072.934277
6.0978,1000,12086.096878
25.306567,1000,12099.38447
14.33883,1000,12112.573314
34.732645,1000,12125.99784
13.067816,1000,12139.081708
-4.350348,1000,12152.563556
17.323151,1000,12165.723436
10.868033,1000,12177.718422
40.853044,1000,12189.568254
39.972298,1000,12201.444846
7.987672,1000,12213.824511
40.579058,1000,12226.114097
-3.985821,1000,12238.562658
31.209491,1000,12250.843631
5.489157,1000,12262.728914
41.920143,1000,12274.940519
41.606178,1000,12286.961941
-0.704554,1000,12299.030699
39.03301,1000,12311.066818
37.360754,1000,12322.850674
5.407527,1000,12334.860034
34.029972,1000,12346.580594
-4.818605,1000,12358.795027
39.186861,1000,12373.303701
24.688165,1000,12385.058791
2.914841,1000,12397.252207
4.098227,1000,12409.031349
9.036616,1000,12421.010835
21.482451,1000,12432.876374
22.812144,1000,12444.635338
12.248297,1000,12456.691196
-8.53502,1000,12468.569234
1.117648,1000,12480.480542
27.48676,1000,12492.429736
1.242088,1000,12504.268396
-9.852849,1000,12516.327477
11.06034,1000,12528.274301
24.365335,1000,12540.159586
5.81776,1000,12552.517004
30.902214,1000,12564.33511
9.990691,1000,12576.623111
27.09596,1000,12588.549205
0.362791,1000,12600.517222
22.484449,1000,12612.781476
-6.057492,1000,12624.589678
32.456429,1000,12639.398745
3.440182,1000,12651.197721
36.555342,1000,12663.121763
40.250157,1000,12677.619464
37.563414,1000,12689.342943
19.200561,1000,12701.464562
27.24407,1000,12713.355902
33.252507,1000,12725.219059
14.898113,1000,12737.169153
30.545167,1000,12748.965904
3.634702,1000,12761.026754
-10.162494,1000,12772.912608
-4.338348,1000,12784.851841
29.161982,1000,12797.076959
35.15164,1000,12808.909482
3.648437,1000,12821.198665
-1.193589,1000,12832.935024
-11.3227,1000,12844.842991
-6.361368,1000,12857.125981
41.945739,1000,12868.923939
-5.283721,1000,12881.336308
-1.085724,1000,12893.994118
-0.775004,1000,12905.869529
42.267455,1000,12917.832854
19.46585,1000,12929.535362
-6.847996,1000,12941.516792
-7.376191,1000,12953.228627
-3.862783,1000,12965.098889
17.602281,1000,12979.559959
8.033473,1000,12991.282613
-10.005869,1000,13003.376703
10.405841,1000,13015.128649
11.698481,1000,13027.122786
24.959646,1000,13039.307123
-6.024574,1000,13051.09014
3.003148,1000,13063.327729
11.16718,1000,13075.088333
28.451636,1000,13087.017349
-7.151431,1000,13099.377685
0.135306,1000,13111.081715
22.510865,1000,13123.370412
-8.194431,1000,13135.206957
-5.155447,1000,13147.418655
6.384869,1000,13159.470227
25.036386,1000,13171.287843
16.805879,1000,13183.55742
14.121278,1000,13195.271027
-1.909104,1000,13206.908588
-1.898167,1000,13218.962088
3.32184,1000,13230.832917
16.697654,1000,13242.951092
-7.021382,1000,13254.574384
26.678823,1000,13266.203169
-7.603945,1000,13280.782304
36.813102,1000,13292.571595
13.85663,1000,13304.77253
-2.142322,1000,13316.390216
5.963202,1000,13328.082847
-4.017297,1000,13340.059695
-1.724793,1000,13351.815204
16.326744,1000,13363.813658
43.7959,1000,13375.675421
44.618005,1000,13387.270483
29.901588,1000,13399.299726
4.768128,1000,13410.983667
-0.140792,1000,13422.760803
26.603058,1000,13434.925903
9.812075,1000,13446.624299
21.42119,1000,13458.704578
11.911144,1000,13470.360056
25.234222,1000,13482.047605
11.189063,1000,13494.50782
28.523517,1000,13509.390996
-4.702223,1000,13533.438274
39.950304,1000,13559.254858
27.149355,1000,13571.932889
0.728257,1000,13585.928063
8.956608,1000,13598.598237
12.701336,1000,13614.205195
30.656876,1000,13626.681555
39.447083,1000,13639.412614
16.722834,1000,13651.937084
43.816546,1000,13664.478857
1.372326,1000,13677.26698
18.280877,1000,13689.470457
18.344694,1000,13702.306538
-5.121692,1000,13714.673479
23.339549,1000,13727.247801
-0.811912,1000,13739.549948
36.339746,1000,13751.814765
19.034055,1000,13764.640883
22.953697,1000,13777.189514
30.86737,1000,13791.52637
45.306657,1000,13803.89614
-4.495481,1000,13816.852238
6.232351,1000,13829.634458
42.623128,1000,13842.116465
45.318081,1000,13855.27054
38.102817,1000,13868.17771
46.235372,1000,13881.510076
47.683034,1000,13894.113602
13.687248,1000,13906.766282
37.201055,1000,13919.684427
3.197016,1000,13934.492568
30.836943,1000,13947.354022
42.272135,1000,13959.916425
39.023761,1000,13972.771185
47.78572,1000,13985.099124
16.341525,1000,13997.39052
44.674601,1000,14010.0349
34.089491,1000,14022.555859
27.481053,1000,14035.430905
